Service Region,Office,DMA,Division,HSP
LA20,LAFAYETTE,LAKE CHARLES LA,WEST,Goodman
TX01,HOUSTON CENTRAL,BEAUMONT TX,WEST,Goodman
TX05,HOUSTON CENTRAL,HOUSTON TX 1,WEST,Goodman
TX06,HOUSTON SOUTH,HOUSTON TX 1,WEST,Goodman
TX07,HOUSTON CENTRAL,HOUSTON TX 1,WEST,Goodman
TX08,HOUSTON SOUTH,HOUSTON TX 1,WEST,Goodman
TX09,HOUSTON SOUTH,HOUSTON TX 1,WEST,Goodman
TX10,HOUSTON SOUTH,HOUSTON TX 1,WEST,Goodman
LA05,LAFAYETTE,ALEXANDRIA LA,WEST,Goodman
LA08,LAFAYETTE,ALEXANDRIA LA,WEST,Goodman
LA10,BATON ROUGE,BATON ROUGE LA,WEST,Goodman
LA11,BATON ROUGE,BATON ROUGE LA,WEST,Goodman
LA15,LAFAYETTE,LAFAYETTE LA,WEST,Goodman
LA16,LAFAYETTE,LAFAYETTE LA,WEST,Goodman
LA25,SHREVEPORT,MONROE LA,WEST,Goodman
LA30,SHREVEPORT,SHREVEPORT LA,WEST,Goodman
LA31,SHREVEPORT,SHREVEPORT LA,WEST,Goodman
LA32,SHREVEPORT,SHREVEPORT LA,WEST,Goodman
TX15,TYLER,TYLER TX,WEST,Goodman
IL30,EVANSVILLE,EVANSVILLE IN,WEST,Goodman
IL31,EVANSVILLE,EVANSVILLE IN,WEST,Goodman
IL32,EVANSVILLE,EVANSVILLE IN,WEST,Goodman
IN35,EVANSVILLE,TERRE HAUTE IN,WEST,Goodman
IN36,EVANSVILLE,TERRE HAUTE IN,WEST,Goodman
KY15,PADUCAH,PADUCAH KY,WEST,Goodman
KY16,PADUCAH,PADUCAH KY,WEST,Goodman
KY17,PADUCAH,PADUCAH KY,WEST,Goodman
KY18,PADUCAH,PADUCAH KY,WEST,Goodman
TN25,MEMPHIS,JACKSON TN,WEST,Goodman
TN30,MEMPHIS,MEMPHIS TN,WEST,Goodman
TN31,MEMPHIS,MEMPHIS TN,WEST,Goodman
TN32,MEMPHIS,MEMPHIS TN,WEST,Goodman
IL20,BLOOMINGTON,CHAMPAIGN IL,WEST,Goodman
IL21,BLOOMINGTON,CHAMPAIGN IL,WEST,Goodman
IL25,DAVENPORT,DAVENPORT IA,WEST,Goodman
IL26,DAVENPORT,DAVENPORT IA,WEST,Goodman
IL35,BLOOMINGTON,PEORIA IL,WEST,Goodman
IL36,BLOOMINGTON,PEORIA IL,WEST,Goodman
IN25,INDIANAPOLIS,INDIANAPOLIS IN,EAST,Goodman
IN26,INDIANAPOLIS,INDIANAPOLIS IN,EAST,Goodman
IN30,INDIANAPOLIS,LAFAYETTE IN,EAST,Goodman
OH01,CINCINNATI,CINCINNATI OH,EAST,Goodman
OH02,CINCINNATI,CINCINNATI OH,EAST,Goodman
OH03,CINCINNATI,CINCINNATI OH,EAST,Goodman
OH04,CINCINNATI,CINCINNATI OH,EAST,Goodman
OH20,CINCINNATI,CINCINNATI OH,EAST,Goodman
KY01,LEXINGTON,LEXINGTON KY,EAST,Goodman
KY02,LEXINGTON,LEXINGTON KY,EAST,Goodman
KY05,LOUISVILLE,LOUISVILLE KY,EAST,Goodman
KY06,LOUISVILLE,LOUISVILLE KY,EAST,Goodman
KY07,LOUISVILLE,LOUISVILLE KY,EAST,Goodman
OH05,CLEVELAND EAST,CLEVELAND OH,EAST,Goodman
OH06,CLEVELAND WEST,CLEVELAND OH,EAST,Goodman
OH07,CLEVELAND WEST,CLEVELAND OH,EAST,Goodman
OH08,CLEVELAND WEST,CLEVELAND OH,EAST,Goodman
OH09,CLEVELAND EAST,CLEVELAND OH,EAST,Goodman
OH15,CLEVELAND EAST,YOUNGSTOWN OH PA,EAST,Goodman
MI01,TRAVERSE CITY,ALPENA MI,EAST,Goodman
MI05,DETROIT,DETROIT MI,EAST,Goodman
MI06,DETROIT,DETROIT MI,EAST,Goodman
MI07,DETROIT,DETROIT MI,EAST,Goodman
MI08,DETROIT,DETROIT MI,EAST,Goodman
MI15,TRAVERSE CITY,FLINT MI,EAST,Goodman
MI16,TRAVERSE CITY,FLINT MI,EAST,Goodman
MI17,TRAVERSE CITY,FLINT MI,EAST,Goodman
MI18,TRAVERSE CITY,FLINT MI,EAST,Goodman
MI20,GRAND RAPIDS,GRAND RAPIDS MI,EAST,Goodman
MI21,GRAND RAPIDS,GRAND RAPIDS MI,EAST,Goodman
MI22,GRAND RAPIDS,GRAND RAPIDS MI,EAST,Goodman
MI23,GRAND RAPIDS,GRAND RAPIDS MI,EAST,Goodman
MI25,GRAND RAPIDS,LANSING MI,EAST,Goodman
MI26,GRAND RAPIDS,LANSING MI,EAST,Goodman
MI27,GRAND RAPIDS,GRAND RAPIDS MI,EAST,Goodman
MI28,GRAND RAPIDS,GRAND RAPIDS MI,EAST,Goodman
MI31,TRAVERSE CITY,TRAVERSE CITY MI,EAST,Goodman
MI32,TRAVERSE CITY,TRAVERSE CITY MI,EAST,Goodman
MI33,TRAVERSE CITY,TRAVERSE CITY MI,EAST,Goodman
MI34,TRAVERSE CITY,TRAVERSE CITY MI,EAST,Goodman
MI35,TRAVERSE CITY,TRAVERSE CITY MI,EAST,Goodman
MI36,TRAVERSE CITY,TRAVERSE CITY MI,EAST,Goodman
MI37,TRAVERSE CITY,TRAVERSE CITY MI,EAST,Goodman
MA01,BOSTON NORTH,BOSTON MA,EAST,Goodman
MA02,BOSTON NORTH,BOSTON MA,EAST,Goodman
MA03,BOSTON SOUTH,BOSTON MA,EAST,Goodman
MA04,BOSTON SOUTH,BOSTON MA,EAST,Goodman
MA05,BOSTON SOUTH,BOSTON MA,EAST,Goodman
MA06,BOSTON NORTH,BOSTON MA,EAST,Goodman
MA07,BOSTON SOUTH,BOSTON MA,EAST,Goodman
MA08,BOSTON SOUTH,BOSTON MA,EAST,Goodman
MA09,BOSTON NORTH,BOSTON MA,EAST,Goodman
MA10,BOSTON SOUTH,BOSTON MA,EAST,Goodman
MA11,BOSTON NORTH,BOSTON MA,EAST,Goodman
MA12,BOSTON NORTH,BOSTON MA,EAST,Goodman
NJ03,PISCATAWAY,NEW YORK NY 1,EAST,Goodman
NJ05,PISCATAWAY,NEW YORK NY 1,EAST,Goodman
NJ06,PISCATAWAY,NEW YORK NY 1,EAST,Goodman
NJ07,PISCATAWAY,NEW YORK NY 1,EAST,Goodman
ME01,BANGOR,BANGOR ME,EAST,Goodman
ME02,BANGOR,BANGOR ME,EAST,Goodman
ME05,PORTLAND,PORTLAND ME,EAST,Goodman
ME06,PORTLAND,PORTLAND ME,EAST,Goodman
ME07,PORTLAND,PORTLAND ME,EAST,Goodman
ME08,PORTLAND,PORTLAND ME,EAST,Goodman
ME14,BANGOR,PRESQUE ISLE ME,EAST,Goodman
NH01,BURLINGTON,BURLINGTON VT,EAST,Goodman
NH02,BURLINGTON,BURLINGTON VT,EAST,Goodman
NH03,BURLINGTON,BURLINGTON VT,EAST,Goodman
DC04,"PC608 - Beltsville, MD",WASHINGTON DC 2,DS East,DirectSat
DC05,"PC608 - Beltsville, MD",WASHINGTON DC 2,DS East,DirectSat
DC06,"PC609 - White Plains, MD",WASHINGTON DC 2,DS East,DirectSat
DC07,"PC609 - White Plains, MD",WASHINGTON DC 2,DS East,DirectSat
DC08,"PC608 - Beltsville, MD",WASHINGTON DC 2,DS East,DirectSat
PA15,"PC621 - Pennsauken, NJ",PHILADELPHIA PA,DS East,DirectSat
PA18,"PC621 - Pennsauken, NJ",PHILADELPHIA PA,DS East,DirectSat
PA20,"PC621 - Pennsauken, NJ",PHILADELPHIA PA,DS East,DirectSat
PA21,"PC621 - Pennsauken, NJ",PHILADELPHIA PA,DS East,DirectSat
PA19,"PC622 - Bethlehem, PA",PHILADELPHIA PA,DS East,DirectSat
PA22,"PC622 - Bethlehem, PA",PHILADELPHIA PA,DS East,DirectSat
PA23,"PC622 - Bethlehem, PA",PHILADELPHIA PA,DS East,DirectSat
PA01,"PC623 - Erie, PA",ERIE PA,DS East,DirectSat
PA24,"PC623 - Erie, PA",PITTSBURGH PA,DS East,DirectSat
PA34,"PC623 - Erie, PA",PITTSBURGH PA,DS East,DirectSat
VA01,"PC632 - Roanoke, VA",CHARLOTTESVILLE VA,DS East,DirectSat
VA04,"PC632 - Roanoke, VA",HARRISONBURG VA,DS East,DirectSat
VA05,"PC632 - Roanoke, VA",HARRISONBURG VA,DS East,DirectSat
VA06,"PC632 - Roanoke, VA",HARRISONBURG VA,DS East,DirectSat
VA07,"PC632 - Roanoke, VA",ROANOKE VA,DS East,DirectSat
